Ordered Time,From_Suburb,From_State,From_State,To_Suburb,To_State,To_Postcode,Items,Weight,Volume,Allowed Time (Days)
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,INT,REAL,REAL,INT
3/05/2020 13:08,LANE COVE,NSW,2066,MOREE,NSW,2400,2,26,0.0406,
3/05/2020 13:09,CROYDON,VIC,3136,SPRINGVALE,VIC,3171,1,500,1.152,
3/05/2020 13:10,TRUGANINA,VIC,3029,GLEN INNES,NSW,2370,1,4.14,0.0308,
3/05/2020 13:11,MOORABBIN,VIC,3189,WELSHPOOL,WA,6106,1,220,1.7695,
3/05/2020 13:12,DARLINGHURST,NSW,2010,PORT MELBOURNE,VIC,3207,1,0.1,0.003,
3/05/2020 13:12,MOUNT WAVERLY,VIC,3149,NORTH ADELAIDE,SA,5006,1,2,0.0092,
3/05/2020 13:14,UNLEY,SA,5061,STAWELL,VIC,3380,2,15.7,0.1148,
3/05/2020 13:14,TRUGANINA,VIC,3029,SCORESBY,VIC,3179,3,30.33,0.3287,
3/05/2020 13:14,AUBURN,NSW,2144,WAGGA WAGGA,NSW,2650,1,13,0.0166,
3/05/2020 13:15,ARNDELL PARK,NSW,2148,DANDENONG,VIC,3175,1,3,0.0035,
3/05/2020 13:17,MOUNT WAVERLY,VIC,3149,WAURN PONDS,VIC,3216,1,1,0.0071,
3/05/2020 13:18,MOUNT WAVERLY,VIC,3149,PRESTON,VIC,3072,1,1,0.0071,
3/05/2020 13:18,TRUGANINA,VIC,3029,WINNELLIE,NT,820,2,4.48,0.0451,
3/05/2020 13:19,PRESTONS,NSW,2170,PORT MACQUARIE,NSW,2444,1,3,0.0431,
3/05/2020 13:19,BRAESIDE,VIC,3195,HARLAXTON,QLD,4350,1,2,0.0098,
3/05/2020 13:19,TRUGANINA,VIC,3029,GEEVESTON,TAS,7116,1,9.17,0.0521,
3/05/2020 13:20,TRUGANINA,VIC,3029,ROBINA,QLD,4226,1,1.05,0.1324,
3/05/2020 13:22,TRUGANINA,VIC,3029,EAST ALBURY,NSW,2640,1,119.88,1.44,
3/05/2020 13:22,TRUGANINA,VIC,3029,ROBINA,QLD,4226,2,10.9,0.113,
3/05/2020 13:28,TRUGANINA,VIC,3029,MATRAVILLE,NSW,2036,2,11.6,0.1386,
3/05/2020 13:28,TRUGANINA,VIC,3029,BROOKVALE,NSW,2100,1,6.24,0.0792,
3/05/2020 13:28,AUBURN,NSW,2144,HAMILTON NORTH,NSW,2292,1,69,0.1764,
3/05/2020 13:30,CHESTER HILL,NSW,2162,LISMORE,NSW,2480,3,535,6.624,
3/05/2020 13:30,FRENCHS FOREST,NSW,2086,WILLOUGHBY,NSW,2068,1,2,0.0129,
3/05/2020 13:31,TRUGANINA,VIC,3029,SOUTH TOOWOOMBA,QLD,4350,1,6.15,0.0308,
3/05/2020 13:33,TRUGANINA,VIC,3029,KANGAROO FLAT,VIC,3555,1,83.6,0.96,
3/05/2020 13:35,TRUGANINA,VIC,3029,NOOSAVILLE,QLD,4566,2,6.15,0.0448,
3/05/2020 13:35,PORT MELBOURNE,VIC,3207,CAIRNS,QLD,4870,1,2,0.012,
3/05/2020 13:37,BANYO,QLD,4014,BUNDABERG,QLD,4670,1,432,1.728,
3/05/2020 13:38,GREYSTANES,NSW,2145,PORT MELBOURNE,VIC,3207,1,6,0.037,
3/05/2020 13:39,ARNDELL PARK,NSW,2148,GUNNEDAH,NSW,2380,1,15.8,0.0119,
3/05/2020 13:40,CARRUM DOWNS,VIC,3201,ECHUCA SOUTH,VIC,3564,1,200,0.903,
3/05/2020 13:41,TRUGANINA,VIC,3029,KEMPSEY,NSW,2440,1,146,2.791,
3/05/2020 13:42,TRUGANINA,VIC,3029,RUTHERFORD,NSW,2320,1,1.93,0.0199,
3/05/2020 13:43,BRAESIDE,VIC,3195,DINGLEY VILLAGE,VIC,3172,1,3,0.0094,
3/05/2020 13:46,LANE COVE,NSW,2066,SCORESBY,VIC,3179,1,3,0.0261,
3/05/2020 13:46,TRUGANINA,VIC,3029,GOOLWA,SA,5214,2,18.34,0.1042,
3/05/2020 13:47,KEYSBOROUGH,VIC,3173,MARLESTON,SA,5033,6,31,0.1092,
3/05/2020 13:51,MOUNT WAVERLY,VIC,3149,DANDENONG,VIC,3175,1,1,0.0071,
3/05/2020 13:51,TRUGANINA,VIC,3029,FAIRFIELD,VIC,3078,6,33.11,0.2527,
3/05/2020 13:55,TRUGANINA,VIC,3029,DINGLEY VILLAGE,VIC,3172,1,0.7,0.0078,
